number,value,params_bagging_temperature,params_boosting_type,params_bootstrap_type,params_depth,params_l2_leaf_reg,params_learning_rate,params_subsample
0,0.537885075,,Plain,Bernoulli,12,9,0.022272886,0.160204262
1,0.145916031,,Plain,Bernoulli,5,6,0.000240201,0.129466209
2,0.043467296,,Ordered,MVS,6,3,0.000457726,
3,0.181166699,9.963545669,Plain,Bayesian,5,4,0.000419576,
4,0.007582931,,Ordered,Bernoulli,12,8,1.07E-05,0.461770555
5,0.368177329,0.886506355,Plain,Bayesian,5,19,0.000974399,
6,0.237617646,5.034727204,Ordered,Bayesian,12,20,0.000570555,
7,0.017668505,1.00851716,Ordered,Bayesian,4,8,2.39E-05,
8,0.295245263,,Ordered,Bernoulli,7,13,0.000600096,0.705675167
9,0.327399168,,Plain,MVS,12,1,0.002555615,
10,0.553718992,,Plain,Bernoulli,9,13,0.097861244,0.169702229
11,0.554828363,,Plain,Bernoulli,9,13,0.076385273,0.156834167
12,0.557015134,,Plain,Bernoulli,9,14,0.098196744,0.222256818
13,0.557217418,,Plain,Bernoulli,9,15,0.07341402,0.268633463
14,0.544153156,,Plain,Bernoulli,10,16,0.010502427,0.310412671
15,0.551583162,,Plain,Bernoulli,10,16,0.015540073,0.277074278
16,0.447319975,,Plain,MVS,8,16,0.004477215,
17,0.555535239,,Plain,Bernoulli,10,11,0.037494993,0.246466698
18,0.063551103,,Plain,Bernoulli,8,18,9.34E-05,0.460923609
19,0.40573815,,Plain,MVS,7,11,0.003613186,
20,0.559817042,,Plain,Bernoulli,9,15,0.053106005,0.2216697
21,0.560982099,,Plain,Bernoulli,9,15,0.04315575,0.225181345
22,0.554187825,,Plain,Bernoulli,10,17,0.033928591,0.21238907
23,0.542717539,,Plain,Bernoulli,11,15,0.007552564,0.377552778
24,0.562940541,,Plain,Bernoulli,7,18,0.042726182,0.11758376
25,0.56090823,,Plain,Bernoulli,7,20,0.029034248,0.102564353
26,0.556101717,,Plain,Bernoulli,7,20,0.0204555,0.100684304
